auc,ap,brier
0.9452961608805506,0.8808318673038249,0.09312878315691524
0.9481681457381221,0.9023741339701966,0.0934262300648958
0.9467383428669052,0.8850066330423998,0.09291176217383992
0.9453350248596345,0.8813081119928716,0.09232671112677265
0.9486881277926055,0.8924041833202464,0.09068876752056784
0.9515345710460427,0.897357570900678,0.09025156191744119
0.9445965546100741,0.8833071086800252,0.09445304750815536
0.9494873451228574,0.8943216474648565,0.0910834699565739
0.9533236488388284,0.8964644215360088,0.08870555877981372
0.948538050095074,0.8879312801603964,0.09169399136803687
0.9490154247191803,0.894530734239452,0.09024029339989272
0.9469256613211969,0.88905416404534,0.09222074728179891
0.9465790672512955,0.8880127581604877,0.09232926013651693
0.945970989292578,0.8898403159686982,0.09309423360276531
0.9494348401361432,0.8937563710448079,0.09058981413015171
0.9479460798872306,0.8897605248952706,0.09105799134007227
0.9464535950717324,0.8883210529001412,0.09386966039562504
0.949024165232358,0.8873714662072297,0.09023672066899355
0.9497185385267454,0.8823907592979431,0.08801902873998446
0.9435983278761213,0.8830821215737378,0.09745849408148571
0.9492285246819605,0.8927293478944446,0.09103864707119937
0.9500853008453671,0.8902983404941129,0.08935711223752181
0.9480395617023023,0.8912990498308097,0.09143930002907702
0.9510619827213219,0.8914486496988866,0.08877021322439112
0.9474361616708102,0.8938650891658141,0.0927244404163543
0.9437380836008331,0.8752922507045624,0.09468667995354287
0.9441655690993923,0.8849603545875003,0.09579902596307206
0.9449622583495011,0.8847476253247801,0.094765141805637
0.9493383306164884,0.894337019682485,0.09362856278237336
0.950806873440222,0.8960290319548307,0.08907789419600504
0.943854816095676,0.8839510224875872,0.09442758099699196
0.9432692224919512,0.8807540231619556,0.09656008558593727
0.9423504466423169,0.8793982486094338,0.0952301425165726
0.94754970463841,0.8905537091806253,0.09237367183895456
0.9447458260841738,0.8798339264429206,0.09217408634972417
0.9431189331397987,0.8791861389603676,0.09649002308708184
0.9533014005602242,0.8954559028681572,0.08691928684709853
