spec_id,outcome,control_set,controls_count,window,with_treated_trend,weighting,coef,stderr,t_value,p_value_norm,n_obs
85,economic_vitality,none,0,late_start,0,unweighted,1.145536084142225,0.20117981767091067,5.694090477883271,1.2403130078553204e-08,2655
86,economic_vitality,none,0,late_start,0,population_weighted,2.956305517281234,0.32405881343960313,9.122743757229177,0.0,2655
87,economic_vitality,none,0,late_start,1,unweighted,-0.06864911984432188,0.2817728066951759,-0.24363287802497938,0.8075151624371097,2655
88,economic_vitality,none,0,late_start,1,population_weighted,1.4130102758314584,0.3218254693946287,4.390610471226556,1.1303287094754921e-05,2655
89,economic_vitality,none,0,trim_tail,0,unweighted,0.6967530123101419,0.19242612084952074,3.6208858196284592,0.00029359607286183476,2950
90,economic_vitality,none,0,trim_tail,0,population_weighted,2.5430727739525683,0.31927317167332775,7.965194070720656,1.7763568394002505e-15,2950
91,economic_vitality,none,0,trim_tail,1,unweighted,-0.5612684369561258,0.2727391158556087,-2.0578949051564277,0.03960022292788867,2950
92,economic_vitality,none,0,trim_tail,1,population_weighted,0.35106112073309975,0.3366554246519614,1.0427906251504224,0.2970452741895757,2950
93,economic_vitality,none,0,exclude_2020,0,unweighted,0.9627141004501018,0.1731582361760839,5.559736121769697,2.7018283610402705e-08,2950
94,economic_vitality,none,0,exclude_2020,0,population_weighted,3.074645309820241,0.28126495251582556,10.93149104543071,0.0,2950
95,economic_vitality,none,0,exclude_2020,1,unweighted,-0.3259656821316235,0.2668422874741617,-1.2215668109320443,0.22187148586919836,2950
96,economic_vitality,none,0,exclude_2020,1,population_weighted,0.8322955629815604,0.3191593712016634,2.60777416576519,0.009113305724815168,2950
97,economic_vitality,baseline,3,full_window,0,unweighted,0.16628078007149172,0.14788355311353465,1.124403468611773,0.26084190123764106,3245
98,economic_vitality,baseline,3,full_window,0,population_weighted,0.38489076958255874,0.24886721005327817,1.5465708379185843,0.12196676626085079,3245
99,economic_vitality,baseline,3,full_window,1,unweighted,-0.1889666597632754,0.20492585910942634,-0.9221220815396018,0.35646490018458565,3245
100,economic_vitality,baseline,3,full_window,1,population_weighted,0.25436324415882294,0.26644857083710793,0.9546429292515392,0.33975829983731587,3245
101,economic_vitality,baseline,3,late_start,0,unweighted,0.46886004795767316,0.1745706210118927,2.6857901131355426,0.007235852670127052,2655
102,economic_vitality,baseline,3,late_start,0,population_weighted,1.0403357911577547,0.28524170542874333,3.6472078639203147,0.00026510545545344044,2655
103,economic_vitality,baseline,3,late_start,1,unweighted,0.13759006490052345,0.2194846369924596,0.626877884419994,0.5307392850750976,2655
104,economic_vitality,baseline,3,late_start,1,population_weighted,1.022589374243176,0.2859358338992551,3.5762896881384547,0.0003485054470551141,2655
105,economic_vitality,baseline,3,trim_tail,0,unweighted,0.20360117646644416,0.157334749516106,1.2940636260751919,0.19564344432647474,2950
106,economic_vitality,baseline,3,trim_tail,0,population_weighted,0.7400583802509553,0.25452359642643474,2.907621889056778,0.0036418838581473434,2950
107,economic_vitality,baseline,3,trim_tail,1,unweighted,-0.271799263530687,0.2112271773164975,-1.2867627498682606,0.1981769941106628,2950
108,economic_vitality,baseline,3,trim_tail,1,population_weighted,0.600493476029668,0.26887906384431987,2.2333218043980985,0.025527730636399015,2950
109,economic_vitality,baseline,3,exclude_2020,0,unweighted,0.21789054460128354,0.1561517700733044,1.395376719066305,0.16290226800536955,2950
110,economic_vitality,baseline,3,exclude_2020,0,population_weighted,0.7393629968202686,0.25467014259318443,2.903218215106366,0.0036934918365560954,2950
111,economic_vitality,baseline,3,exclude_2020,1,unweighted,-0.07353599274364805,0.22485409765466322,-0.3270387042560663,0.743638611575395,2950
112,economic_vitality,baseline,3,exclude_2020,1,population_weighted,0.6180262912721068,0.28982610712947027,2.1324037968602463,0.0329736655343551,2950
113,economic_vitality,digital_labor,2,full_window,0,unweighted,-0.26525919889161637,0.17186656886401783,-1.5434019579543217,0.12273327892761698,3245
114,economic_vitality,digital_labor,2,full_window,0,population_weighted,-0.40414418817762554,0.2982912059881389,-1.3548645755037636,0.17546070788075885,3245
115,economic_vitality,digital_labor,2,full_window,1,unweighted,-0.6432057298124583,0.24238511188025294,-2.653651970712728,0.007962590604648323,3245
116,economic_vitality,digital_labor,2,full_window,1,population_weighted,-0.7743666666554283,0.298710461008558,-2.592365409771313,0.009531846944909494,3245
117,economic_vitality,digital_labor,2,late_start,0,unweighted,0.0861615848207851,0.20209696671568184,0.42633784277425946,0.6698616866101772,2655
118,economic_vitality,digital_labor,2,late_start,0,population_weighted,0.4075368928320156,0.322292096954759,1.264495458258856,0.20605224983653048,2655
119,economic_vitality,digital_labor,2,late_start,1,unweighted,-0.2591062032282665,0.25669198320300435,-1.0094051243639848,0.3127803818854258,2655
120,economic_vitality,digital_labor,2,late_start,1,population_weighted,0.31024336929759677,0.30832651549431495,1.0062169606146545,0.3143112151877858,2655
121,economic_vitality,digital_labor,2,trim_tail,0,unweighted,-0.3344598064195999,0.1884007007267592,-1.7752577624680532,0.075855336080205,2950
122,economic_vitality,digital_labor,2,trim_tail,0,population_weighted,-0.5050704684253633,0.32569501904736753,-1.5507466767611457,0.12096240382451051,2950
123,economic_vitality,digital_labor,2,trim_tail,1,unweighted,-0.7857639106498473,0.2553946427435316,-3.076665595679369,0.002093299942107052,2950
124,economic_vitality,digital_labor,2,trim_tail,1,population_weighted,-0.9197273112156816,0.3224045465516347,-2.8527119764683055,0.004334789083362267,2950
125,economic_vitality,digital_labor,2,exclude_2020,0,unweighted,-0.19439441972987512,0.17364280832438234,-1.1195074625073251,0.2629237090660739,2950
126,economic_vitality,digital_labor,2,exclude_2020,0,population_weighted,0.10067333691916396,0.28878743043005656,0.3486070594182136,0.7273843271917135,2950
127,economic_vitality,digital_labor,2,exclude_2020,1,unweighted,-0.4955137285810609,0.24759707557725774,-2.0012907156750552,0.045361069698881096,2950
128,economic_vitality,digital_labor,2,exclude_2020,1,population_weighted,-0.3476421527998559,0.3124483128612075,-1.1126389181505416,0.2658635387435615,2950
129,economic_vitality,macro,4,full_window,0,unweighted,0.7936724041866586,0.07098131104023239,11.181427794941728,0.0,3245
130,economic_vitality,macro,4,full_window,0,population_weighted,1.9085420629639192,0.15565768652341544,12.261148842635658,0.0,3245
131,economic_vitality,macro,4,full_window,1,unweighted,-0.28004317951923063,0.09798070161429537,-2.8581462972334175,0.004261238786049226,3245
132,economic_vitality,macro,4,full_window,1,population_weighted,0.13568630019992245,0.18325459154364532,0.7404251050790526,0.45904209025400977,3245
133,economic_vitality,macro,4,late_start,0,unweighted,0.7796991858068243,0.08274722451151122,9.422662698473445,0.0,2655
134,economic_vitality,macro,4,late_start,0,population_weighted,2.338203431204851,0.17905108118899246,13.058862396573995,0.0,2655
135,economic_vitality,macro,4,late_start,1,unweighted,-0.16803137144310343,0.10621478483126261,-1.5819960630720602,0.11365046923852251,2655
136,economic_vitality,macro,4,late_start,1,population_weighted,0.6412476579263937,0.15330379657750015,4.182855690740977,2.8787013204745193e-05,2655
137,economic_vitality,macro,4,trim_tail,0,unweighted,0.7495350425586851,0.0761906275216969,9.837627893867117,0.0,2950
138,economic_vitality,macro,4,trim_tail,0,population_weighted,1.9166169849326817,0.14738935406084883,13.003768129287124,0.0,2950
139,economic_vitality,macro,4,trim_tail,1,unweighted,-0.28041077851665897,0.10014718119121038,-2.799986731341668,0.005110470719603022,2950
140,economic_vitality,macro,4,trim_tail,1,population_weighted,0.2915717193148093,0.18437046434395338,1.5814448390761007,0.11377636195987906,2950
141,economic_vitality,macro,4,exclude_2020,0,unweighted,0.8762676759498012,0.07457022629260208,11.750905415137963,0.0,2950
142,economic_vitality,macro,4,exclude_2020,0,population_weighted,2.132098435309347,0.166617835393199,12.796339781259546,0.0,2950
143,economic_vitality,macro,4,exclude_2020,1,unweighted,-0.2938178937391194,0.10855629280086253,-2.7065947644150286,0.00679771782153038,2950
144,economic_vitality,macro,4,exclude_2020,1,population_weighted,0.08532063450167637,0.20410793363780094,0.41801723715983435,0.6759345145320785,2950
145,economic_vitality,full,7,full_window,0,unweighted,-0.026035080436905722,0.05332642477335623,-0.48822100014313674,0.6253933113250001,3245
146,economic_vitality,full,7,full_window,0,population_weighted,-0.24903939106808104,0.10320828857820508,-2.412978594053266,0.01582274881708523,3245
147,economic_vitality,full,7,full_window,1,unweighted,-0.35812665863682186,0.07306535788006648,-4.901456299231036,9.512881278261887e-07,3245
148,economic_vitality,full,7,full_window,1,population_weighted,-0.5488854167211327,0.1213354445657855,-4.5237021934142145,6.076721230652282e-06,3245
149,economic_vitality,full,7,late_start,0,unweighted,0.03805527948705972,0.06597472521058362,0.5768160362258685,0.5640637353965232,2655
150,economic_vitality,full,7,late_start,0,population_weighted,-0.009939279545653767,0.10109959227080538,-0.09831176686677838,0.9216847348381738,2655
151,economic_vitality,full,7,late_start,1,unweighted,-0.2311244216023553,0.08119508399870196,-2.8465322063839507,0.004419825814317546,2655
152,economic_vitality,full,7,late_start,1,population_weighted,-0.13949736597637064,0.10270933929545335,-1.358176062014117,0.1744078244457934,2655
153,economic_vitality,full,7,trim_tail,0,unweighted,-0.043626951074849596,0.057917178061264236,-0.753264446494638,0.45129101903500035,2950
154,economic_vitality,full,7,trim_tail,0,population_weighted,-0.2343362236055304,0.11539758576498406,-2.030685668613327,0.0422868910658587,2950
155,economic_vitality,full,7,trim_tail,1,unweighted,-0.37933268065894205,0.07617515127264285,-4.979743056909079,6.366874596430705e-07,2950
156,economic_vitality,full,7,trim_tail,1,population_weighted,-0.5501029527745441,0.1343093619591828,-4.095790083060053,4.207310366455275e-05,2950
157,economic_vitality,full,7,exclude_2020,0,unweighted,0.0010722447169692617,0.05519341907578154,0.019427039218154807,0.984500440299612,2950
158,economic_vitality,full,7,exclude_2020,0,population_weighted,-0.11410780937741949,0.10425808562131036,-1.094474435219208,0.2737469536426156,2950
159,economic_vitality,full,7,exclude_2020,1,unweighted,-0.34139168337491754,0.07778864066669947,-4.38870869125579,1.1402568333096497e-05,2950
160,economic_vitality,full,7,exclude_2020,1,population_weighted,-0.5505232988882062,0.13037865216589425,-4.222495705721197,2.4161200371297653e-05,2950
161,livability,none,0,full_window,0,unweighted,0.1772671509876116,0.1407986081824826,1.2590120973203356,0.20802596238987547,3245
162,livability,none,0,full_window,0,population_weighted,1.854228672221393,0.2692898081267726,6.885625137912699,5.753397758212486e-12,3245
163,livability,none,0,full_window,1,unweighted,-0.30537050090710743,0.1937300931193216,-1.576267765065413,0.11496410718029137,3245
164,livability,none,0,full_window,1,population_weighted,0.2868968950527379,0.30861393507343116,0.9296303972290625,0.3525624833139154,3245
165,livability,none,0,late_start,0,unweighted,0.2514054456681923,0.15841181494928933,1.5870372153028611,0.11250421616008333,2655
166,livability,none,0,late_start,0,population_weighted,1.8038822034890085,0.3062752701844503,5.889741611859959,3.867999254225651e-09,2655
167,livability,none,0,late_start,1,unweighted,0.058973754767685745,0.20503668494553237,0.2876253816889013,0.7736335137542576,2655
168,livability,none,0,late_start,1,population_weighted,0.7623637158030887,0.31603620780820907,2.4122670028547475,0.015853666798961497,2655
169,livability,none,0,trim_tail,0,unweighted,0.20671493981053143,0.14928983328380097,1.3846551721815172,0.16615793247055755,2950
170,livability,none,0,trim_tail,0,population_weighted,1.9062840943358308,0.2710520134266142,7.032908814204202,2.0228263508670352e-12,2950
171,livability,none,0,trim_tail,1,unweighted,-0.3342885345713135,0.2011070602853321,-1.6622416642012598,0.0964643291987608,2950
172,livability,none,0,trim_tail,1,population_weighted,0.3981911570642555,0.3117128877500396,1.2774292392541764,0.20145074742792302,2950
173,livability,none,0,exclude_2020,0,unweighted,0.21091063095879245,0.1443711427161775,1.4608918859458393,0.14404511372655548,2950
174,livability,none,0,exclude_2020,0,population_weighted,2.004407315172222,0.28251802025265627,7.094794567014444,1.2954082251326327e-12,2950
175,livability,none,0,exclude_2020,1,unweighted,-0.31620859191985884,0.21035219327463206,-1.5032341094110797,0.13277868458768793,2950
176,livability,none,0,exclude_2020,1,population_weighted,0.262485062969093,0.3440012434184479,0.7630352156890391,0.4454423941808554,2950
177,livability,baseline,3,full_window,0,unweighted,0.15711172287190106,0.14556826694907,1.0792992605103267,0.28045434245727097,3245
178,livability,baseline,3,full_window,0,population_weighted,0.6753569747958957,0.2586855785895237,2.6107252614477465,0.009035044636804157,3245
179,livability,baseline,3,full_window,1,unweighted,-0.18658130725930946,0.18550665111272832,-1.0057930868792844,0.3145151134613531,3245
180,livability,baseline,3,full_window,1,population_weighted,0.4496465283910465,0.2846542348347249,1.579623533976647,0.11419310645301861,3245
181,livability,baseline,3,late_start,0,unweighted,0.24069726962587734,0.1601995074280624,1.5024844551033496,0.13297203958099413,2655
182,livability,baseline,3,late_start,0,population_weighted,0.8533905506526995,0.28886166631458815,2.9543226054900087,0.003133562480020391,2655
183,livability,baseline,3,late_start,1,unweighted,0.15540637740726282,0.194486541545553,0.7990598021450407,0.42425573675425676,2655
184,livability,baseline,3,late_start,1,population_weighted,0.8150220129960316,0.29837048953878126,2.731577155153267,0.00630319803960977,2655
185,livability,baseline,3,trim_tail,0,unweighted,0.17396176220523477,0.154129893584172,1.1286698391849104,0.2590371370882816,2950
186,livability,baseline,3,trim_tail,0,population_weighted,0.8117945212285014,0.2625732398421377,3.091687948537948,0.0019902194597598566,2950
187,livability,baseline,3,trim_tail,1,unweighted,-0.22347521022354339,0.19345810692320886,-1.1551607414014937,0.24802460801730075,2950
188,livability,baseline,3,trim_tail,1,population_weighted,0.587657588042745,0.2933156298903337,2.003499057525374,0.04512374865573987,2950
189,livability,baseline,3,exclude_2020,0,unweighted,0.21116016035159832,0.14934066410200245,1.4139495201880983,0.15737672458999574,2950
190,livability,baseline,3,exclude_2020,0,population_weighted,0.8110742526860877,0.2743261763340617,2.9566053940780304,0.0031104590835671075,2950
191,livability,baseline,3,exclude_2020,1,unweighted,-0.1756080306945877,0.20043639748778277,-0.876128452195373,0.3809602067466442,2950
192,livability,baseline,3,exclude_2020,1,population_weighted,0.506035418428224,0.3211279402793494,1.5758062596111178,0.115070459377425,2950
193,livability,digital_labor,2,full_window,0,unweighted,0.04743348480746474,0.15334448153674013,0.3093263241827196,0.7570733084155992,3245
194,livability,digital_labor,2,full_window,0,population_weighted,0.3955805897886021,0.26893891944231235,1.4708938022391902,0.1413198390417958,3245
195,livability,digital_labor,2,full_window,1,unweighted,-0.3019238879632128,0.19367780889001363,-1.558897685251439,0.11902059829655487,3245
196,livability,digital_labor,2,full_window,1,population_weighted,0.11648114744001026,0.2897505621226883,0.402004905828928,0.6876804158344121,3245
197,livability,digital_labor,2,late_start,0,unweighted,0.1464725630028954,0.1703931506655079,0.8596153215714049,0.3900011263660237,2655
198,livability,digital_labor,2,late_start,0,population_weighted,0.6542286510026947,0.2973617624492874,2.200110214622056,0.02779907633727241,2655
199,livability,digital_labor,2,late_start,1,unweighted,0.057736309533907904,0.2042372217915337,0.28269239577122596,0.7774126458822126,2655
200,livability,digital_labor,2,late_start,1,population_weighted,0.59756615409071,0.3025508499123601,1.9750932918013848,0.04825756196839137,2655
201,livability,digital_labor,2,trim_tail,0,unweighted,0.06020776625651863,0.16245556152603768,0.370610680797584,0.7109275256196033,2950
202,livability,digital_labor,2,trim_tail,0,population_weighted,0.4333236158543935,0.27450361033492005,1.5785716454719783,0.11443434264922914,2950
203,livability,digital_labor,2,trim_tail,1,unweighted,-0.332264044471217,0.20133992516395366,-1.6502640705793954,0.09888893751704386,2950
204,livability,digital_labor,2,trim_tail,1,population_weighted,0.17023786275118225,0.30210987919143056,0.5634965106298685,0.5730968354883172,2950
205,livability,digital_labor,2,exclude_2020,0,unweighted,0.08150517712635565,0.15825947802922977,0.5150097683963171,0.6065461939558794,2950
206,livability,digital_labor,2,exclude_2020,0,population_weighted,0.5516561463780267,0.28474940943537386,1.937339036003267,0.05270391349739234,2950
207,livability,digital_labor,2,exclude_2020,1,unweighted,-0.308259675670581,0.21077629765872521,-1.4624968703534886,0.14360510134674787,2950
208,livability,digital_labor,2,exclude_2020,1,population_weighted,0.14711865832289517,0.32929187621996525,0.4467728144760567,0.6550391017943811,2950
209,livability,macro,4,full_window,0,unweighted,0.14601876980503103,0.10567876069003652,1.3817229578733865,0.1670567824385225,3245
210,livability,macro,4,full_window,0,population_weighted,1.473878345449754,0.22635363219147916,6.51139692869146,7.44551087450418e-11,3245
211,livability,macro,4,full_window,1,unweighted,-0.2181224581021063,0.14899421937436455,-1.4639659110132948,0.14320326273167616,3245
212,livability,macro,4,full_window,1,population_weighted,0.6307609132504335,0.31514680093971065,2.001482837108353,0.04534038153435316,3245
213,livability,macro,4,late_start,0,unweighted,0.16749555455716209,0.12210494772647014,1.3717343783019538,0.17014614214376844,2655
