state_id,kinetic_state,trajectory_regime,risk_bucket,accel_bucket,visit_count,rl_state_value,rl_best_action
mixed_transition|late_takeoff|r_high|a_high,mixed transition,late takeoff,high,high,58,-90.59503489420567,innovation_pulse
recovery_rebound|late_takeoff|r_low|a_mid,recovery rebound,late takeoff,low,mid,2,-90.67661677926775,innovation_pulse
surge_expansion|volatile_rebound|r_mid|a_high,surge expansion,volatile rebound,mid,high,22,-90.71739056901286,innovation_pulse
steady_cruise|structural_decline|r_low|a_mid,steady cruise,structural decline,low,mid,2,-90.78368022288981,resilience_upgrade
mixed_transition|late_takeoff|r_mid|a_low,mixed transition,late takeoff,mid,low,7,-91.41890227911404,resilience_upgrade
deep_cooling|volatile_rebound|r_mid|a_high,deep cooling,volatile rebound,mid,high,3,-91.4923705158222,resilience_upgrade
recovery_rebound|structural_decline|r_low|a_mid,recovery rebound,structural decline,low,mid,3,-92.09888233139849,resilience_upgrade
recovery_rebound|persistent_accelerator|r_low|a_mid,recovery rebound,persistent accelerator,low,mid,2,-92.2618767057434,innovation_pulse
steady_cruise|structural_decline|r_mid|a_high,steady cruise,structural decline,mid,high,1,-92.36396845353656,resilience_upgrade
deep_cooling|late_takeoff|r_low|a_mid,deep cooling,late takeoff,low,mid,8,-92.45033551738894,resilience_upgrade
mixed_transition|persistent_accelerator|r_high|a_low,mixed transition,persistent accelerator,high,low,6,-92.53119110488399,resilience_upgrade
mixed_transition|late_takeoff|r_mid|a_mid,mixed transition,late takeoff,mid,mid,38,-92.62989528959089,innovation_pulse
deep_cooling|late_takeoff|r_mid|a_low,deep cooling,late takeoff,mid,low,29,-93.05360097885831,resilience_upgrade
recovery_rebound|persistent_accelerator|r_mid|a_mid,recovery rebound,persistent accelerator,mid,mid,1,-93.07118221125883,resilience_upgrade
steady_cruise|late_takeoff|r_mid|a_low,steady cruise,late takeoff,mid,low,3,-93.27750070192747,resilience_upgrade
mixed_transition|persistent_accelerator|r_mid|a_mid,mixed transition,persistent accelerator,mid,mid,20,-93.41615535509798,innovation_pulse
recovery_rebound|stable_mature|r_low|a_high,recovery rebound,stable mature,low,high,3,-93.49211781096984,innovation_pulse
surge_expansion|stable_mature|r_mid|a_mid,surge expansion,stable mature,mid,mid,5,-93.58043402778685,innovation_pulse
mixed_transition|volatile_rebound|r_low|a_low,mixed transition,volatile rebound,low,low,12,-94.33921723284857,innovation_pulse
mixed_transition|stable_mature|r_mid|a_low,mixed transition,stable mature,mid,low,6,-94.73288801437968,innovation_pulse
steady_cruise|structural_decline|r_high|a_mid,steady cruise,structural decline,high,mid,3,-95.1157323618027,resilience_upgrade
mixed_transition|persistent_accelerator|r_high|a_high,mixed transition,persistent accelerator,high,high,12,-95.1660429046464,resilience_upgrade
steady_cruise|volatile_rebound|r_mid|a_mid,steady cruise,volatile rebound,mid,mid,6,-95.28380729003923,innovation_pulse
surge_expansion|late_takeoff|r_high|a_mid,surge expansion,late takeoff,high,mid,3,-95.6354119126338,resilience_upgrade
deep_cooling|persistent_accelerator|r_mid|a_high,deep cooling,persistent accelerator,mid,high,2,-95.64527775952745,resilience_upgrade
mixed_transition|late_takeoff|r_low|a_high,mixed transition,late takeoff,low,high,2,-95.8822991995476,innovation_pulse
mixed_transition|persistent_accelerator|r_high|a_mid,mixed transition,persistent accelerator,high,mid,8,-96.27878002777028,resilience_upgrade
overheating|late_takeoff|r_mid|a_mid,overheating,late takeoff,mid,mid,1,-96.42304121158725,anti_overheating
steady_cruise|stable_mature|r_low|a_mid,steady cruise,stable mature,low,mid,4,-97.07504468064988,innovation_pulse
