alpha_dynamic,alpha_graph,alpha_critical,alpha_base,selection_objective,mean_continent_gain,std_continent_gain,worst_continent_gain,share_positive_continent_gain,robust_score
0.15000000000000002,0.15000000000000002,0.2,0.49999999999999994,0.6906723323940442,0.039999322685375316,0.03210167652304416,0.01705789782156142,1.0,0.038361748387927976
0.15000000000000002,0.2,0.0,0.6499999999999999,0.6623236330789719,0.011586825784394331,0.0229466329952903,-0.007878707257576223,0.3333333333333333,0.004599585902562503
0.15000000000000002,0.2,0.05,0.5999999999999999,0.6694256802998452,0.017473761645864894,0.023594812594345777,0.00044686976675212264,1.0,0.016091803420829446
0.15000000000000002,0.2,0.1,0.5499999999999999,0.6769008800805922,0.026026257378871247,0.02534394455872501,0.007463801515301127,1.0,0.024653872592300403
0.15000000000000002,0.2,0.15000000000000002,0.4999999999999999,0.6854168634438013,0.0344419527682626,0.03057644475520728,0.011876864037404289,1.0,0.032821287633237356
0.15000000000000002,0.2,0.2,0.4499999999999999,0.6920805626249233,0.042287624706397096,0.03279579162314897,0.018061422740774935,1.0,0.04062268580555896
0.15000000000000002,0.25,0.0,0.6,0.6629541039739296,0.011738856808094278,0.024487440405410333,-0.007855677213531642,0.3333333333333333,0.004657082782183208
0.15000000000000002,0.25,0.05,0.5499999999999999,0.670222671978977,0.019694049895189487,0.02490624858105847,0.00112924476658105,1.0,0.01822311662479966
0.15000000000000002,0.25,0.1,0.5,0.6783094798922903,0.027117467243694165,0.026875502410224083,0.007457630731339537,1.0,0.025650729825237355
0.15000000000000002,0.25,0.15000000000000002,0.44999999999999996,0.6862130811799872,0.03593881136470626,0.03128433596296236,0.011899140229593264,1.0,0.034277439287784324
0.15000000000000002,0.25,0.2,0.39999999999999997,0.6928207574710874,0.042239536333865825,0.0334448287230102,0.017044148236326495,1.0,0.04053747836196207
0.2,0.0,0.0,0.8,0.6642706117197392,0.008709157327643954,0.026534086603189826,-0.018402123025328843,0.3333333333333333,-0.005892530307431324
0.2,0.0,0.05,0.75,0.671152396987439,0.01406293063799354,0.029880903049251503,-0.012660425352011617,0.3333333333333333,0.003350321763909381
0.2,0.0,0.1,0.7000000000000001,0.6791862376746989,0.02502383667424246,0.030952698095609514,-0.0017685027295882838,0.6666666666666666,0.022010506845891193
0.2,0.0,0.15000000000000002,0.65,0.6872037794919893,0.029968335324478585,0.03535317925607469,-0.001230231127051007,0.6666666666666666,0.027140107961412006
0.2,0.0,0.2,0.6000000000000001,0.6937028526384872,0.03582705517630724,0.03844860482946364,0.0018742860964270358,1.0,0.03374233701923521
0.2,0.05,0.0,0.75,0.6651801205792531,0.008862087313163292,0.02789376783752999,-0.0183789122409308,0.3333333333333333,-0.0058139370943902915
0.2,0.05,0.05,0.7,0.67261787806097,0.01615623647125608,0.029537772783174713,-0.010053486523400101,0.6666666666666666,0.007325244819956745
0.2,0.05,0.1,0.65,0.6804287881025608,0.025581757466696702,0.03172009624795533,-0.001745794513093979,0.6666666666666666,0.02254778254626102
0.2,0.05,0.15000000000000002,0.6,0.6883903070298294,0.03078313028117441,0.03518874381638726,0.0013762051336567716,1.0,0.028852950092975328
