city_id,continent,state,start_year,end_year,duration,exit_observed
port_moresby_pg,Oceania,stall_trap,2015,2015,1,1
porto_pt,Europe,stall_trap,2015,2015,1,1
quito_ec,South America,stall_trap,2015,2015,1,1
riga_lv,Europe,stall_trap,2015,2015,1,1
rio_de_janeiro_br,South America,stall_trap,2022,2022,1,1
rome_it,Europe,stall_trap,2015,2015,1,1
rome_it,Europe,stall_trap,2023,2023,1,1
rome_it,Europe,stall_trap,2025,2025,1,0
rotterdam_nl,Europe,stall_trap,2015,2015,1,1
saint_petersburg_ru,Europe,stall_trap,2019,2019,1,1
saint_petersburg_ru,Europe,stall_trap,2025,2025,1,0
salvador_br,South America,stall_trap,2015,2015,1,1
san_salvador_sv,North America,stall_trap,2015,2015,1,1
santo_domingo_do,North America,stall_trap,2018,2018,1,1
sapporo_jp,Asia,stall_trap,2015,2015,1,1
sapporo_jp,Asia,stall_trap,2020,2020,1,1
sarajevo_ba,Europe,stall_trap,2023,2023,1,1
seoul_kr,Asia,stall_trap,2015,2015,1,1
seville_es,Europe,stall_trap,2015,2015,1,1
shanghai_cn,Asia,stall_trap,2023,2023,1,1
singapore_sg,Asia,stall_trap,2015,2015,1,1
sofia_bg,Europe,stall_trap,2025,2025,1,0
stockholm_se,Europe,stall_trap,2015,2015,1,1
stockholm_se,Europe,stall_trap,2025,2025,1,0
stuttgart_de,Europe,stall_trap,2015,2015,1,1
suva_fj,Oceania,stall_trap,2015,2015,1,1
sydney_au,Oceania,stall_trap,2024,2024,1,1
taipei_tw,Asia,stall_trap,2024,2024,1,1
tbilisi_ge,Asia,stall_trap,2015,2015,1,1
tbilisi_ge,Asia,stall_trap,2018,2018,1,1
tegucigalpa_hn,North America,stall_trap,2015,2015,1,1
