country,continent,city_count,mean_composite,mean_accel,mean_risk,mean_uncertainty,mean_source_quality,mean_sentinel_score,mean_changepoint_prob,critical_city_count,warning_city_count,data_watch_city_count,opportunity_city_count,sentinel_break_city_count,critical_share,warning_share,sentinel_break_share,nowcast_stall_pressure,nowcast_pulse_balance,country_alert_level,top_alert_city,top_city_risk,top_city_accel,top_city_alert_level,country_rank
Egypt,Africa,2,35.20939634684414,61.16627000149727,41.779774374681594,12.31888385776218,100.0,23.129532009396183,0.35051191138657195,0,0,0,0,0,0.0,0.0,0.0,-19.386495626815673,19.386495626815673,watch,Cairo,38.924242762406266,52.89153614641697,stable_watch,45
Slovakia,Europe,1,32.94838386436872,59.61866753391764,40.04170563393171,11.943053360811117,100.0,23.671083230835087,0.43799932362489336,0,0,0,0,0,0.0,0.0,0.0,-19.576961899985925,19.576961899985925,watch,Bratislava,40.04170563393171,59.61866753391764,stable_watch,46
Morocco,Africa,2,32.32091014968136,40.73365619648623,21.041400007688658,15.904916785072796,100.0,17.344236042116677,0.19569081979761416,0,0,0,0,0,0.0,0.0,0.0,-19.692256188797572,19.692256188797572,watch,Casablanca,20.79338345769479,33.69270979624092,stable_watch,47
Austria,Europe,1,31.930186268679574,49.49577873668162,29.66016698954125,15.126866350179293,100.0,20.132490941495384,0.24476740727197155,0,0,0,0,0,0.0,0.0,0.0,-19.835611747140373,19.835611747140373,watch,Vienna,29.66016698954125,49.49577873668162,stable_watch,48
Kazakhstan,Asia,2,27.498566077406785,64.18048729704407,43.99165376772943,11.729407451529305,100.0,18.533649162155854,0.08204233411892842,0,0,0,0,0,0.0,0.0,0.0,-20.188833529314635,20.188833529314635,watch,Astana,46.59402243021365,65.52744831426656,stable_watch,49
Senegal,Africa,1,29.5080576704493,69.52315404972485,49.32451634604996,24.16610251925819,100.0,25.258250123318522,0.2172522047311135,0,0,0,0,0,0.0,0.0,0.0,-20.19863770367489,20.19863770367489,watch,Dakar,49.32451634604996,69.52315404972485,stable_watch,50
Belgium,Europe,2,32.177927769138904,76.76239062083047,56.35795956036142,12.294230469072742,100.0,31.35431934597446,0.33582302423205634,0,0,0,0,0,0.0,0.0,0.0,-20.40443106046905,20.40443106046905,watch,Brussels,57.816534638820414,79.08370388668678,stable_watch,51
France,Europe,5,35.93923986851106,69.8930794547759,49.40897378786035,16.06188907322008,100.0,35.65149234654008,0.48055867801511337,0,0,0,0,0,0.0,0.0,0.0,-20.484105666915553,20.484105666915553,watch,Paris,29.472686580534663,0.0,stable_watch,52
Croatia,Europe,1,30.968861185327846,50.48036786174131,29.24771606051349,18.471526861726584,100.0,16.524497875295324,0.1564586598293356,0,0,0,0,0,0.0,0.0,0.0,-21.232651801227817,21.232651801227817,watch,Zagreb,29.24771606051349,50.48036786174131,stable_watch,53
Guyana,South America,1,24.11040254150138,53.48936971878799,31.753428788202026,21.870436306133453,100.0,20.08298759378375,0.20773082953431066,0,0,0,0,0,0.0,0.0,0.0,-21.735940930585965,21.735940930585965,watch,Georgetown,31.753428788202026,53.48936971878799,stable_watch,54
South Africa,Africa,4,31.15762614444677,47.18565658032232,25.1196390171773,15.455966518914162,100.0,27.70973053082582,0.5215507368027157,0,0,0,0,0,0.0,0.0,0.0,-22.066017563145024,22.066017563145024,watch,Cape Town,53.09510872459627,78.89571450808381,stable_watch,55
Italy,Europe,7,32.19862525377153,54.55327350916023,32.153996248001484,16.136936038972113,100.0,24.332269656273336,0.3638658388324318,0,0,0,1,0,0.0,0.0,0.0,-22.399277261158744,22.399277261158744,watch,Turin,35.70064271274136,77.30418143755365,acceleration_opportunity,56
Russia,Asia,8,26.166789449689446,64.2930956593065,41.89108523642819,17.6850479467649,100.0,25.7882186656919,0.2935161964727294,0,1,0,0,0,0.0,0.125,0.0,-22.402010422878313,22.402010422878313,watch,Yekaterinburg,72.54112672215746,100.0,stall_warning,57
Pakistan,Asia,2,29.973558996496315,66.99003994533288,44.519679731485894,18.0727259989076,100.0,27.955094046318777,0.47933853793043,0,0,0,0,0,0.0,0.0,0.0,-22.470360213846988,22.470360213846988,watch,Karachi,55.203783000542565,83.3303931027055,stable_watch,58
Niger,Africa,1,26.874421691663898,59.515294439816095,36.92615581159577,10.246295830602252,100.0,18.47899002975624,0.22192650946789017,0,0,0,0,0,0.0,0.0,0.0,-22.589138628220326,22.589138628220326,watch,Niamey,36.92615581159577,59.515294439816095,stable_watch,59
Malawi,Africa,1,24.17867111615905,33.86310977858115,11.25865179919379,11.286186617050552,100.0,16.058343550324327,0.2643819692624848,0,0,0,0,0,0.0,0.0,0.0,-22.604457979387355,22.604457979387355,watch,Lilongwe,11.25865179919379,33.86310977858115,stable_watch,60
Nigeria,Africa,5,23.16871974296869,57.11624840130891,34.203301498177844,21.303768013888444,100.0,22.592285427443795,0.33783923419029444,0,0,0,1,0,0.0,0.0,0.0,-22.912946903131065,22.912946903131065,watch,Abuja,26.130487008276223,71.49202090038563,acceleration_opportunity,61
Switzerland,Europe,3,29.699328355891492,63.69979190438715,40.4700195505173,15.019716452213311,100.0,23.127122408654216,0.23553380253125136,0,0,0,1,0,0.0,0.0,0.0,-23.229772353869848,23.229772353869848,watch,Basel,38.85086457447995,70.16354819140189,acceleration_opportunity,62
Bangladesh,Asia,1,27.8050926058755,65.91626207917896,42.62921460549021,12.954522660747754,100.0,16.540606198321075,0.0,0,0,0,0,0,0.0,0.0,0.0,-23.28704747368875,23.28704747368875,watch,Dhaka,42.62921460549021,65.91626207917896,stable_watch,63
Malaysia,Asia,1,29.787021449331494,74.3067268056919,50.43789209009622,11.431614331731504,100.0,25.054723558618733,0.2834339918024317,0,0,0,0,0,0.0,0.0,0.0,-23.868834715595675,23.868834715595675,watch,Kuala Lumpur,50.43789209009622,74.3067268056919,stable_watch,64
Australia,Oceania,11,30.092056882360524,55.72122354552773,31.484218527943582,18.039393448730376,100.0,20.17175480081872,0.3015793782942107,0,0,0,0,0,0.0,0.0,0.0,-24.237005017584146,24.237005017584146,watch,Adelaide,33.141207880073125,27.704708800180498,stable_watch,65
Rwanda,Africa,1,29.01171937192653,75.33970371425366,50.69800251193212,15.416251863190832,100.0,27.28435653408106,0.3715874120593089,0,0,0,0,0,0.0,0.0,0.0,-24.641701202321542,24.641701202321542,watch,Kigali,50.69800251193212,75.33970371425366,stable_watch,66
Mongolia,Asia,1,24.773091246741856,64.16801379364311,39.523002440843186,14.55857247277439,100.0,20.676682643282525,0.270071507907102,0,0,0,0,0,0.0,0.0,0.0,-24.645011352799926,24.645011352799926,watch,Ulaanbaatar,39.523002440843186,64.16801379364311,stable_watch,67
Sierra Leone,Africa,1,22.030267532209393,74.48144749136272,49.673057191578835,18.822085495749104,100.0,23.186025931464894,0.13325550894218863,0,0,0,0,0,0.0,0.0,0.0,-24.80839029978388,24.80839029978388,watch,Freetown,49.673057191578835,74.48144749136272,stable_watch,68
Namibia,Africa,1,31.034584269939227,61.03437536038015,36.169825548672506,13.395170852343316,100.0,14.095744872628462,0.0,0,0,0,0,0,0.0,0.0,0.0,-24.864549811707647,24.864549811707647,watch,Windhoek,36.169825548672506,61.03437536038015,stable_watch,69
Colombia,South America,5,28.055170076525485,52.76072193989588,27.846244767030775,17.277671999991632,100.0,17.520741835182637,0.20424443702456124,0,0,0,0,0,0.0,0.0,0.0,-24.914477172865105,24.914477172865105,watch,Cartagena,34.4741933458239,49.62740061105799,stable_watch,70
Liberia,Africa,1,21.344343884114462,64.79231913069965,39.60339360604107,21.9578035732966,100.0,19.945855677015853,0.18096197983532758,0,0,0,0,0,0.0,0.0,0.0,-25.188925524658586,25.188925524658586,watch,Monrovia,39.60339360604107,64.79231913069965,stable_watch,71
Japan,Asia,6,36.911828084379245,72.69871532494112,47.40321943713372,17.616717980359756,100.0,26.577743645361835,0.3129996381167686,0,0,0,0,0,0.0,0.0,0.0,-25.295495887807398,25.295495887807398,watch,Fukuoka,49.56077450906926,72.91673331111508,stable_watch,72
Cambodia,Asia,1,25.573119423667254,60.83602356100199,35.51330711677664,23.58878678751841,100.0,18.36594277378225,0.18236002360458214,0,0,0,0,0,0.0,0.0,0.0,-25.32271644422535,25.32271644422535,watch,Phnom Penh,35.51330711677664,60.83602356100199,stable_watch,73
Algeria,Africa,1,33.674992914380496,57.65001615103415,32.302473759332266,23.530749676003378,100.0,15.59132809047722,0.06592313219412904,0,0,0,0,0,0.0,0.0,0.0,-25.347542391701886,25.347542391701886,watch,Algiers,32.302473759332266,57.65001615103415,stable_watch,74
Romania,Europe,1,32.24206141713141,56.861230174224644,31.19094497871819,15.347597056642122,100.0,17.60281314332022,0.20850232056125262,0,0,0,0,0,0.0,0.0,0.0,-25.670285195506455,25.670285195506455,watch,Bucharest,31.19094497871819,56.861230174224644,stable_watch,75
Angola,Africa,1,28.88957253412376,82.39175049542652,56.54427330210396,14.432279267729987,100.0,31.98861754478842,0.349676414308157,0,0,0,0,0,0.0,0.0,0.0,-25.84747719332256,25.84747719332256,watch,Luanda,56.54427330210396,82.39175049542652,stable_watch,76
Brazil,South America,11,30.608632324667017,69.23025634820574,43.329042171159095,16.83089860243606,100.0,28.810214726413644,0.4305531026965648,0,0,0,1,0,0.0,0.0,0.0,-25.901214177046647,25.901214177046647,watch,Salvador,36.41586431653586,71.84739637935336,acceleration_opportunity,77
Lithuania,Europe,1,28.981322424236513,46.600370502522914,20.671256184484047,14.680542621913677,100.0,21.218521164125175,0.3330378375635775,0,0,0,0,0,0.0,0.0,0.0,-25.929114318038867,25.929114318038867,watch,Vilnius,20.671256184484047,46.600370502522914,stable_watch,78
Burundi,Africa,1,23.443070913297902,60.85930931698943,34.72761451996369,16.394959264062162,100.0,21.1300932397491,0.2863401954493009,0,0,0,0,0,0.0,0.0,0.0,-26.131694797025744,26.131694797025744,watch,Bujumbura,34.72761451996369,60.85930931698943,stable_watch,79
Lebanon,Asia,1,32.68127401168001,69.07578508632311,42.651197639724366,26.222311926729066,100.0,33.108937930191814,0.6396465641265107,0,0,0,0,0,0.0,0.0,0.0,-26.424587446598743,26.424587446598743,watch,Beirut,42.651197639724366,69.07578508632311,stable_watch,80
Dominican Republic,North America,1,28.866811589272828,67.19834204881822,40.76307166422875,10.336603657743025,100.0,19.592200016079737,0.1917170867923923,0,0,0,0,0,0.0,0.0,0.0,-26.435270384589472,26.435270384589472,watch,Santo Domingo,40.76307166422875,67.19834204881822,stable_watch,81
China,Asia,6,34.9007233006094,71.38943594374147,44.90093783846183,18.76350354452979,100.0,24.02237061479099,0.27316677381930293,0,0,0,0,0,0.0,0.0,0.0,-26.488498105279646,26.488498105279646,watch,Beijing,51.05878225797183,68.81089288369944,stable_watch,82
Kenya,Africa,3,27.666326771088936,55.969439705039726,29.291953523982,20.602983024601727,100.0,21.18516348182658,0.30727202631095957,0,0,0,1,0,0.0,0.0,0.0,-26.677486181057727,26.677486181057727,watch,Nairobi,31.986507911296393,75.07645503727417,acceleration_opportunity,83
United Arab Emirates,Asia,2,31.64835116965552,74.22443639759683,47.485321433970185,19.009200085959236,100.0,24.970503436311684,0.323404262713531,0,0,0,0,0,0.0,0.0,0.0,-26.739114963626648,26.739114963626648,watch,Abu Dhabi,49.890058399095466,64.61214964521584,stable_watch,84
Finland,Europe,1,33.94113041040959,69.50662432889038,42.686669622043276,16.003726565393407,100.0,23.984846972508475,0.2489424908126271,0,0,0,0,0,0.0,0.0,0.0,-26.819954706847106,26.819954706847106,watch,Helsinki,42.686669622043276,69.50662432889038,stable_watch,85
Chile,South America,3,32.620801253790155,61.10834034093631,33.707129542725134,18.53442965964454,100.0,22.81768195014023,0.32537665318441283,0,0,0,1,0,0.0,0.0,0.0,-27.401210798211174,27.401210798211174,watch,Valparaiso,33.2653729219439,74.20889198827349,acceleration_opportunity,86
Iran,Asia,3,34.528456624261615,71.44324732249164,43.979149348819824,19.732777181982403,100.0,23.436702522881756,0.25936183081730385,0,0,0,0,0,0.0,0.0,0.0,-27.46409797367182,27.46409797367182,watch,Tehran,40.674338319383565,59.76918749148097,stable_watch,87
Ireland,Europe,1,31.957054049196582,71.54910885217085,43.47211275434916,11.252575077205485,100.0,26.842245342915422,0.311216701585624,0,0,0,0,0,0.0,0.0,0.0,-28.076996097821684,28.076996097821684,watch,Dublin,43.47211275434916,71.54910885217085,stable_watch,88
Argentina,South America,5,33.339040557899395,56.869257262554946,28.464113948742693,14.554746017176729,100.0,18.51237840422797,0.24894388647904986,0,0,0,2,0,0.0,0.0,0.0,-28.405143313812253,28.405143313812253,watch,Buenos Aires,32.18061464074636,71.79753986864952,acceleration_opportunity,89
Kyrgyzstan,Asia,1,32.97964136677237,79.36407193811672,50.930364558149705,15.320402597212826,100.0,29.47019101705807,0.38799312125469865,0,0,0,0,0,0.0,0.0,0.0,-28.433707379967018,28.433707379967018,watch,Bishkek,50.930364558149705,79.36407193811672,stable_watch,90
Uzbekistan,Asia,1,34.410883074062376,86.96985227798996,58.51727049795757,13.931169984777984,100.0,32.17222707454079,0.333998382287241,0,0,0,0,0,0.0,0.0,0.0,-28.45258178003239,28.45258178003239,watch,Tashkent,58.51727049795757,86.96985227798996,stable_watch,91
Jordan,Asia,1,37.45130073231774,62.23575974372369,33.524307212426585,15.59523607631993,100.0,21.55334388313993,0.4343707047253842,0,0,0,0,0,0.0,0.0,0.0,-28.711452531297105,28.711452531297105,watch,Amman,33.524307212426585,62.23575974372369,stable_watch,92
Qatar,Asia,1,33.36545864026864,68.4213174885565,39.64428599856877,17.555077135052063,100.0,20.21346379655731,0.26095435356923014,0,0,0,0,0,0.0,0.0,0.0,-28.777031489987728,28.777031489987728,watch,Doha,39.64428599856877,68.4213174885565,stable_watch,93
El Salvador,North America,1,25.794670624129626,67.01160159147891,38.07590447492953,22.57884237595034,100.0,23.824715206163958,0.3861243242160981,0,0,0,0,0,0.0,0.0,0.0,-28.935697116549377,28.935697116549377,watch,San Salvador,38.07590447492953,67.01160159147891,stable_watch,94
Djibouti,Africa,1,26.342620610754064,64.67179316839874,35.56577621456835,19.359667805398466,100.0,24.6762638041286,0.5074041386035388,0,0,0,0,0,0.0,0.0,0.0,-29.106016953830384,29.106016953830384,watch,Djibouti City,35.56577621456835,64.67179316839874,stable_watch,95
Hong Kong,Asia,1,33.023645132122965,79.10683582571097,49.799142639176495,22.643706582995296,100.0,26.612175976491685,0.24254335506985836,0,0,0,0,0,0.0,0.0,0.0,-29.30769318653448,29.30769318653448,watch,Hong Kong,49.799142639176495,79.10683582571097,stable_watch,96
Germany,Europe,7,31.556619422466927,72.3662814870087,42.819877277186364,15.968925285699777,100.0,27.625494280367207,0.3780513126242405,0,0,0,1,0,0.0,0.0,0.0,-29.54640420982234,29.54640420982234,watch,Munich,38.07046350804141,83.049463876069,acceleration_opportunity,97
Botswana,Africa,1,25.090763267577994,59.7417648430229,30.020069193021534,11.363362227269715,100.0,22.25774479256729,0.40030434827321515,0,0,0,0,0,0.0,0.0,0.0,-29.721695650001365,29.721695650001365,watch,Gaborone,30.020069193021534,59.7417648430229,stable_watch,98
Mali,Africa,1,26.66874883101369,100.0,69.99395006286542,13.619760096534003,100.0,45.99789669531912,0.6082550394705548,0,0,0,0,0,0.0,0.0,0.0,-30.006049937134577,30.006049937134577,watch,Bamako,69.99395006286542,100.0,stable_watch,99
