state_id,kinetic_state,trajectory_regime,risk_bucket,accel_bucket,visit_count,rl_state_value,rl_best_action
mixed_transition|late_takeoff|r_low|a_low,mixed transition,late takeoff,low,low,3,-103.72362008347186,innovation_pulse
mixed_transition|volatile_rebound|r_mid|a_mid,mixed transition,volatile rebound,mid,mid,39,-103.75386414283156,resilience_upgrade
recovery_rebound|late_takeoff|r_mid|a_mid,recovery rebound,late takeoff,mid,mid,5,-104.03230847851157,innovation_pulse
deep_cooling|persistent_accelerator|r_low|a_high,deep cooling,persistent accelerator,low,high,3,-104.05934427173229,innovation_pulse
mixed_transition|late_takeoff|r_mid|a_mid,mixed transition,late takeoff,mid,mid,38,-104.23359053403496,resilience_upgrade
steady_cruise|structural_decline|r_mid|a_high,steady cruise,structural decline,mid,high,1,-104.38786964094103,resilience_upgrade
steady_cruise|late_takeoff|r_mid|a_mid,steady cruise,late takeoff,mid,mid,46,-104.63309209236203,resilience_upgrade
mixed_transition|volatile_rebound|r_low|a_low,mixed transition,volatile rebound,low,low,9,-104.656814102848,innovation_pulse
mixed_transition|persistent_accelerator|r_high|a_high,mixed transition,persistent accelerator,high,high,11,-104.766156647955,resilience_upgrade
surge_expansion|structural_decline|r_low|a_high,surge expansion,structural decline,low,high,3,-104.96997538864356,resilience_upgrade
steady_cruise|stable_mature|r_low|a_mid,steady cruise,stable mature,low,mid,9,-105.04418387175798,innovation_pulse
steady_cruise|structural_decline|r_mid|a_low,steady cruise,structural decline,mid,low,1,-105.07638044258034,resilience_upgrade
surge_expansion|late_takeoff|r_high|a_mid,surge expansion,late takeoff,high,mid,5,-105.28146417895066,resilience_upgrade
steady_cruise|volatile_rebound|r_mid|a_mid,steady cruise,volatile rebound,mid,mid,5,-105.75607646402624,resilience_upgrade
mixed_transition|persistent_accelerator|r_high|a_mid,mixed transition,persistent accelerator,high,mid,8,-105.76141122391113,resilience_upgrade
steady_cruise|volatile_rebound|r_low|a_mid,steady cruise,volatile rebound,low,mid,4,-105.92752705621804,wait_observe
steady_cruise|persistent_accelerator|r_low|a_mid,steady cruise,persistent accelerator,low,mid,2,-105.99946994351536,innovation_pulse
surge_expansion|volatile_rebound|r_mid|a_high,surge expansion,volatile rebound,mid,high,23,-106.7297644521746,innovation_pulse
mixed_transition|late_takeoff|r_mid|a_high,mixed transition,late takeoff,mid,high,33,-106.75599966051767,innovation_pulse
