event_id,source_rank,source_url,source_domain,source_track,source_ref
pevt_001234,1,https://projects.worldbank.org/en/projects-operations/project-detail/P151739,projects.worldbank.org,external_direct,wb_project:P151739
pevt_001235,1,https://projects.worldbank.org/en/projects-operations/project-detail/P156252,projects.worldbank.org,external_direct,wb_project:P156252
pevt_001236,1,https://projects.worldbank.org/en/projects-operations/project-detail/P103470,projects.worldbank.org,external_direct,wb_project:P103470|P128605
pevt_001236,2,https://projects.worldbank.org/en/projects-operations/project-detail/P128605,projects.worldbank.org,external_direct,wb_project:P103470|P128605
pevt_001237,1,https://projects.worldbank.org/en/projects-operations/project-detail/P152117,projects.worldbank.org,external_direct,wb_project:P152117|P158958|P161670
pevt_001237,2,https://projects.worldbank.org/en/projects-operations/project-detail/P158958,projects.worldbank.org,external_direct,wb_project:P152117|P158958|P161670
pevt_001237,3,https://projects.worldbank.org/en/projects-operations/project-detail/P161670,projects.worldbank.org,external_direct,wb_project:P152117|P158958|P161670
pevt_001238,1,https://projects.worldbank.org/en/projects-operations/project-detail/P126101,projects.worldbank.org,external_direct,wb_project_regional:P126101|P163592
pevt_001238,2,https://projects.worldbank.org/en/projects-operations/project-detail/P163592,projects.worldbank.org,external_direct,wb_project_regional:P126101|P163592
pevt_001239,1,https://projects.worldbank.org/en/projects-operations/project-detail/P153404,projects.worldbank.org,external_direct,wb_project_regional:P153404|P155510|P165313
pevt_001239,2,https://projects.worldbank.org/en/projects-operations/project-detail/P155510,projects.worldbank.org,external_direct,wb_project_regional:P153404|P155510|P165313
pevt_001239,3,https://projects.worldbank.org/en/projects-operations/project-detail/P165313,projects.worldbank.org,external_direct,wb_project_regional:P153404|P155510|P165313
pevt_001240,1,https://projects.worldbank.org/en/projects-operations/project-detail/P157683,projects.worldbank.org,external_direct,wb_project:P157683|P158418|P162762|P168539
pevt_001240,2,https://projects.worldbank.org/en/projects-operations/project-detail/P158418,projects.worldbank.org,external_direct,wb_project:P157683|P158418|P162762|P168539
pevt_001240,3,https://projects.worldbank.org/en/projects-operations/project-detail/P162762,projects.worldbank.org,external_direct,wb_project:P157683|P158418|P162762|P168539
pevt_001240,4,https://projects.worldbank.org/en/projects-operations/project-detail/P168539,projects.worldbank.org,external_direct,wb_project:P157683|P158418|P162762|P168539
pevt_001241,1,https://projects.worldbank.org/en/projects-operations/project-detail/P169143,projects.worldbank.org,external_direct,wb_project:P169143
pevt_001242,1,https://projects.worldbank.org/en/projects-operations/project-detail/P171766,projects.worldbank.org,external_direct,wb_project:P171766
pevt_001243,1,https://projects.worldbank.org/en/projects-operations/project-detail/P168167,projects.worldbank.org,external_direct,wb_project_regional:P168167|P170532|P171448|P174112|P174285
pevt_001243,2,https://projects.worldbank.org/en/projects-operations/project-detail/P170532,projects.worldbank.org,external_direct,wb_project_regional:P168167|P170532|P171448|P174112|P174285
pevt_001243,3,https://projects.worldbank.org/en/projects-operations/project-detail/P171448,projects.worldbank.org,external_direct,wb_project_regional:P168167|P170532|P171448|P174112|P174285
pevt_001243,4,https://projects.worldbank.org/en/projects-operations/project-detail/P174112,projects.worldbank.org,external_direct,wb_project_regional:P168167|P170532|P171448|P174112|P174285
pevt_001243,5,https://projects.worldbank.org/en/projects-operations/project-detail/P174285,projects.worldbank.org,external_direct,wb_project_regional:P168167|P170532|P171448|P174112|P174285
pevt_001244,1,https://projects.worldbank.org/en/projects-operations/project-detail/P166820,projects.worldbank.org,external_direct,wb_project_regional:P166820|P169996
pevt_001244,2,https://projects.worldbank.org/en/projects-operations/project-detail/P169996,projects.worldbank.org,external_direct,wb_project_regional:P166820|P169996
pevt_001245,1,https://projects.worldbank.org/en/projects-operations/project-detail/P151934,projects.worldbank.org,external_direct,wb_project:P151934|P168730|P172827
pevt_001245,2,https://projects.worldbank.org/en/projects-operations/project-detail/P168730,projects.worldbank.org,external_direct,wb_project:P151934|P168730|P172827
pevt_001245,3,https://projects.worldbank.org/en/projects-operations/project-detail/P172827,projects.worldbank.org,external_direct,wb_project:P151934|P168730|P172827
pevt_001246,1,https://projects.worldbank.org/en/projects-operations/project-detail/P171645,projects.worldbank.org,external_direct,wb_project:P171645
pevt_001247,1,https://projects.worldbank.org/en/projects-operations/project-detail/P168731,projects.worldbank.org,external_direct,wb_project:P168731|P171489|P172562
pevt_001247,2,https://projects.worldbank.org/en/projects-operations/project-detail/P171489,projects.worldbank.org,external_direct,wb_project:P168731|P171489|P172562
pevt_001247,3,https://projects.worldbank.org/en/projects-operations/project-detail/P172562,projects.worldbank.org,external_direct,wb_project:P168731|P171489|P172562
pevt_001248,1,https://projects.worldbank.org/en/projects-operations/project-detail/P175011,projects.worldbank.org,external_direct,wb_project:P175011
