event_id,iso3,start_year,end_year,effective_date,policy_name,policy_intensity,source_ref,source_track,evidence_grade,project_id_count,project_ids,source_url_count,primary_source_url,source_domain,has_objective_source,is_external_direct,is_objective_indicator,is_objective_macro,is_ai_inferred,commitment_usd,project_count,assignment_type
pevt_000045,ARM,2015,2015,2015-01-01,institutional_reform,0.9950189635383871,wb_project:P148836|P150327|P153234,external_direct,A,3,P148836|P150327|P153234,3,https://projects.worldbank.org/en/projects-operations/project-detail/P148836,projects.worldbank.org,1,1,0,0,0,135000000.0,3.0,explicit
pevt_000046,ARM,2015,2015,2015-01-01,urban_mobility,0.7012982027601883,wb_project_regional:P145634,external_direct,A,1,P145634,1,https://projects.worldbank.org/en/projects-operations/project-detail/P145634,projects.worldbank.org,1,1,0,0,0,45000000.0,1.0,regional
pevt_000047,ARM,2016,2016,2016-01-01,institutional_reform,0.7054911668413465,wb_project:P160100,external_direct,A,1,P160100,1,https://projects.worldbank.org/en/projects-operations/project-detail/P160100,projects.worldbank.org,1,1,0,0,0,50000000.0,1.0,explicit
pevt_000048,ARM,2019,2019,2019-01-01,energy_transition,0.8157818204313904,wb_project_regional:P152039|P165313,external_direct,A,2,P152039|P165313,2,https://projects.worldbank.org/en/projects-operations/project-detail/P152039,projects.worldbank.org,1,1,0,0,0,34550000.0,2.0,regional
pevt_000049,ARM,2019,2019,2019-01-01,institutional_reform,0.7054911668413465,wb_project:P169624,external_direct,A,1,P169624,1,https://projects.worldbank.org/en/projects-operations/project-detail/P169624,projects.worldbank.org,1,1,0,0,0,50000000.0,1.0,explicit
pevt_000050,ARM,2020,2020,2020-01-01,urban_services,0.9941246258628174,wb_project_regional:P155976|P155978|P166820,external_direct,A,3,P155976|P155978|P166820,3,https://projects.worldbank.org/en/projects-operations/project-detail/P155976,projects.worldbank.org,1,1,0,0,0,132000000.0,3.0,regional
pevt_000051,ARM,2021,2021,2021-01-01,energy_transition,0.6997196702898159,wb_project:P149670,external_direct,A,1,P149670,1,https://projects.worldbank.org/en/projects-operations/project-detail/P149670,projects.worldbank.org,1,1,0,0,0,43250000.0,1.0,explicit
pevt_000052,ARM,2022,2022,2022-01-01,digital_connectivity,0.8146959203988319,wb_project:P176454|P176803,external_direct,A,2,P176454|P176803,2,https://projects.worldbank.org/en/projects-operations/project-detail/P176454,projects.worldbank.org,1,1,0,0,0,33620000.0,2.0,explicit
pevt_000053,ARM,2022,2022,2022-01-01,innovation_industry,0.875,wb_project_regional:P170001|P174135,external_direct,A,2,P170001|P174135,2,https://projects.worldbank.org/en/projects-operations/project-detail/P170001,projects.worldbank.org,1,1,0,0,0,153000000.0,2.0,regional
pevt_000054,ARM,2022,2022,2022-01-01,institutional_reform,0.737232120967302,wb_project:P155630|P158359,external_direct,A,2,P155630|P158359,2,https://projects.worldbank.org/en/projects-operations/project-detail/P155630,projects.worldbank.org,1,1,0,0,0,4800000.0,2.0,explicit
pevt_000055,ARM,2023,2023,2023-01-01,energy_transition,0.8092225845380139,wb_project_regional:P181218|P181219,external_direct,A,2,P181218|P181219,2,https://projects.worldbank.org/en/projects-operations/project-detail/P181218,projects.worldbank.org,1,1,0,0,0,29300000.0,2.0,regional
pevt_000056,ARM,2023,2023,2023-01-01,institutional_reform,0.7330758956391092,wb_project:P176278,external_direct,A,1,P176278,1,https://projects.worldbank.org/en/projects-operations/project-detail/P176278,projects.worldbank.org,1,1,0,0,0,100000000.0,1.0,explicit
pevt_000057,ARM,2024,2024,2024-01-01,climate_resilience,0.7012982027601883,wb_project_regional:P177407,external_direct,A,1,P177407,1,https://projects.worldbank.org/en/projects-operations/project-detail/P177407,projects.worldbank.org,1,1,0,0,0,45000000.0,1.0,regional
pevt_000058,ARM,2024,2024,2024-01-01,energy_transition,0.6966108677223641,wb_project:P179336,external_direct,A,1,P179336,1,https://projects.worldbank.org/en/projects-operations/project-detail/P179336,projects.worldbank.org,1,1,0,0,0,40000000.0,1.0,explicit
pevt_000059,ARM,2024,2024,2024-01-01,urban_mobility,0.9046893945228124,wb_project:P166274|P175616|P504701,external_direct,A,3,P166274|P175616|P504701,3,https://projects.worldbank.org/en/projects-operations/project-detail/P166274,projects.worldbank.org,1,1,0,0,0,13950000.0,3.0,explicit
pevt_000060,AUS,2018,2018,2018-01-01,digital_connectivity_objective_indicator_event,0.3113710719514345,wb_indicator_event:structural_break@2018;score=7.0600;drivers=IT.NET.USER.ZS:33.23|IP.PAT.RESD:1.46|IT.NET.BBND.P2:1.16,objective_indicator,B,0,,1,https://api.worldbank.org/v2/indicator?format=json&per_page=20000,api.worldbank.org,1,0,1,0,0,,,rule_based
pevt_000061,AUT,2015,2015,2015-01-01,climate_resilience,0.6945695817752748,wb_project_regional:P151363,external_direct,A,1,P151363,1,https://projects.worldbank.org/en/projects-operations/project-detail/P151363,projects.worldbank.org,1,1,0,0,0,38000000.0,1.0,regional
pevt_000062,AUT,2015,2015,2015-01-01,urban_mobility,0.7012982027601883,wb_project_regional:P145634,external_direct,A,1,P145634,1,https://projects.worldbank.org/en/projects-operations/project-detail/P145634,projects.worldbank.org,1,1,0,0,0,45000000.0,1.0,regional
